country code,postal code,place,state,statecode,province_or_county,province_or_countycode,community,communitycode,latitude,longitude,accuracy,Country,Continent
DZ,1000,Adrar Rp,Adrar,1,,,,,28.07,0.1158,1,Algeria,Africa
DZ,1000,Tililane,Adrar,1,,,,,28.07,0.1158,1,Algeria,Africa
DZ,1000,Ouled Oungal,Adrar,1,,,,,28.07,0.1158,1,Algeria,Africa
DZ,1000,Ouled Ali,Adrar,1,,,,,28.07,0.1158,1,Algeria,Africa
DZ,1000,Meraguen,Adrar,1,,,,,28.07,0.1158,1,Algeria,Africa
DZ,1000,Gasbet El Kaid,Adrar,1,,,,,28.07,0.1158,1,Algeria,Africa
DZ,1000,Akhnatir,Adrar,1,,,,,28.07,0.1158,1,Algeria,Africa
DZ,1000,Adrar Cite Zerrari Med,Adrar,1,,,,,28.07,0.1158,1,Algeria,Africa
DZ,1001,Lichta,Adrar,1,,,,,29.2267,0.1994,4,Algeria,Africa
DZ,1001,Badriane,Adrar,1,,,,,29.3382,0.3404,4,Algeria,Africa
DZ,1001,Taoursit,Adrar,1,,,,,29.1667,0.1983,4,Algeria,Africa
DZ,1001,Beni Mahlal,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,Timimoun,Adrar,1,,,,,29.2639,0.231,4,Algeria,Africa
DZ,1001,Ouled El Hadj,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,Tahatait,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,Tlalet,Adrar,1,,,,,29.3482,0.3328,4,Algeria,Africa
DZ,1001,Azzekour,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,Ouled Brahim,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,El Kaf,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,El Gasba,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,Tazegghat,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,Louajda,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,Timimoun Hay Belbey,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,Guentour,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,Macine,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,M'Sahel,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,Ghiat,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,Elmanjour,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,Tmana,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,Ouledtahar,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,Zaouiet Sidi El Hadj Belkacem,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1001,Ikouba,Adrar,1,,,,,29.2687,0.2604,3,Algeria,Africa
DZ,1002,Adrar Sidi Med Belekbir,Adrar,1,,,,,28.07,0.1158,1,Algeria,Africa
DZ,1003,Djedid,Adrar,1,,,,,27.4598,-0.2726,4,Algeria,Africa
DZ,1003,Aoulef,Adrar,1,,,,,26.95,1.0833,4,Algeria,Africa
DZ,1003,Gasbet Maikhaf,Adrar,1,,,,,27.2049,0.4054,3,Algeria,Africa
DZ,1003,Gasbet Bellal,Adrar,1,,,,,27.2049,0.4054,3,Algeria,Africa
DZ,1003,Omanate,Adrar,1,,,,,27.2049,0.4054,3,Algeria,Africa
DZ,1003,Takaref,Adrar,1,,,,,27.2049,0.4054,3,Algeria,Africa
DZ,1003,Rokina,Adrar,1,,,,,27.2049,0.4054,3,Algeria,Africa
DZ,1003,Zaouiet Haimoun,Adrar,1,,,,,27.2049,0.4054,3,Algeria,Africa
DZ,1004,Taourirt,Adrar,1,,,,,26.7041,0.2172,4,Algeria,Africa
